Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance
1,0,0,0,10,"['108335', '391825', '340367', '286457', '661741']",72,"['340367', '661741', '286457', '391825', '108335']",62
2,0,0,0,10,"['219130', '365285', '364695']",64,"['364695', '365285', '219130']",54
3,0,0,0,10,"['422465', '379019', '98888']",62,"['422465', '379019', '98888']",62
4,0,0,0,10,"['352109', '397889', '386850', '380489', '287261']",40,"['287261', '380489', '352109', '397889', '386850']",38
5,0,0,0,10,"['281610', '342706', '111873', '198029', '366109', '287261', '76283', '254489', '258540', '286457']",72,"['254489', '342706', '366109', '76283', '287261', '198029', '111873', '281610', '258540', '286457']",52
6,0,0,0,10,"['383599', '381992', '89769', '284905']",62,"['383599', '381992', '89769', '284905']",62
7,0,0,0,10,"['284251', '780493', '226774', '140817', '191515', '327710']",54,"['226774', '140817', '780493', '191515', '327710', '284251']",54
8,0,0,0,10,"['16643', '123462', '119063', '128827', '188598', '323836', '660999', '661002']",88,"['660999', '661002', '128827', '16643', '123462', '119063', '188598', '323836']",62
9,0,0,0,10,"['181202', '328595', '276157', '296188', '8140', '208299']",70,"['328595', '181202', '276157', '296188', '8140', '208299']",58
10,0,0,0,10,"['427230', '372539', '396879', '391680', '208660', '105912', '332555', '227534', '68048', '188856', '736830', '736831', '479020', '103313', '365797', '97077', '117900', '384900', '769581', '1372184', '226774']",142,"['208660', '372539', '396879', '391680', '188856', '117900', '365797', '97077', '769581', '1372184', '736831', '227534', '736830', '384900', '103313', '479020', '427230', '105912', '68048', '226774', '332555']",72
11,0,0,0,10,"['1117760', '102601', '222340', '112167']",56,"['112167', '102601', '222340', '1117760']",64
12,0,0,0,10,"['176484', '245818', '195946', '272457', '354111', '103926', '106685', '260033', '306104', '397673', '16643', '193618', '180958', '226774', '392017', '154454', '287261', '111873', '391857', '393069', '1400578']",176,"['391857', '195946', '111873', '154454', '287261', '272457', '354111', '103926', '106685', '260033', '306104', '245818', '16643', '397673', '180958', '226774', '392017', '193618', '393069', '1400578', '176484']",110
13,0,0,0,10,"['1145658', '1590703', '1588573', '304902', '616588', '204756', '354453', '156523', '129049', '19494', '72830', '207762', '17032']",104,"['354453', '204756', '616588', '129049', '156523', '1588573', '72830', '207762', '19494', '17032', '1590703', '304902', '1145658']",70
