Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound
1,0,0,0,18,"['108335', '391825', '340367', '286457', '661741']",80,"['391825', '340367', '661741', '286457', '108335']",64,44
2,0,0,0,18,"['219130', '365285', '364695']",72,"['219130', '365285', '364695']",56,54
3,0,0,0,18,"['422465', '379019', '98888']",60,"['379019', '98888', '422465']",64,48
4,0,0,0,18,"['352109', '397889', '386850', '380489', '287261']",48,"['352109', '397889', '386850', '380489', '287261']",40,32
5,0,0,0,18,"['281610', '342706', '111873', '198029', '366109', '287261', '76283', '254489', '258540', '286457']",80,"['286457', '258540', '111873', '287261', '366109', '254489', '281610', '198029', '342706', '76283']",52,32
6,0,0,0,18,"['383599', '381992', '89769', '284905']",60,"['284905', '383599', '381992', '89769']",56,36
7,0,0,0,18,"['284251', '780493', '226774', '140817', '191515', '327710']",60,"['226774', '140817', '780493', '191515', '327710', '284251']",40,36
8,0,0,0,18,"['16643', '123462', '119063', '128827', '188598', '323836', '660999', '661002']",96,"['661002', '660999', '128827', '16643', '123462', '119063', '188598', '323836']",64,24
9,0,0,0,18,"['181202', '328595', '276157', '296188', '8140', '208299']",68,"['8140', '276157', '296188', '328595', '181202', '208299']",60,46
10,0,0,0,18,"['427230', '372539', '396879', '391680', '208660', '105912', '332555', '227534', '68048', '188856', '736830', '736831', '479020', '103313', '365797', '97077', '117900', '384900', '769581', '1372184', '226774']",144,"['105912', '332555', '227534', '103313', '226774', '1372184', '384900', '769581', '427230', '736831', '736830', '188856', '479020', '97077', '208660', '372539', '396879', '391680', '365797', '68048', '117900']",64,20
11,0,0,0,18,"['1117760', '102601', '222340', '112167']",64,"['112167', '102601', '222340', '1117760']",80,52
12,0,0,0,18,"['176484', '245818', '195946', '272457', '354111', '103926', '106685', '260033', '306104', '397673', '16643', '193618', '180958', '226774', '392017', '154454', '287261', '111873', '391857', '393069', '1400578']",184,"['180958', '245818', '195946', '226774', '392017', '154454', '193618', '16643', '354111', '103926', '106685', '397673', '260033', '306104', '272457', '176484', '1400578', '393069', '287261', '111873', '391857']",88,26
13,0,0,0,18,"['1145658', '1590703', '1588573', '304902', '616588', '204756', '354453', '156523', '129049', '19494', '72830', '207762', '17032']",112,"['1588573', '17032', '207762', '72830', '129049', '156523', '19494', '1590703', '204756', '354453', '304902', '616588', '1145658']",64,26
14,0,0,0,18,"['208299', '147629', '311368', '48409', '255229', '396806', '104076', '286438']",60,"['311368', '255229', '396806', '104076', '286438', '208299', '147629', '48409']",44,28
15,0,0,0,18,"['356984', '376926', '360031']",40,"['356984', '376926', '360031']",48,48
16,0,0,0,18,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",40,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",44,44
17,0,0,0,18,"['762640', '1138', '1329222', '298112', '8659']",68,"['8659', '298112', '762640', '1138', '1329222']",68,50
18,0,0,0,18,"['379184', '392028', '391231', '373389']",56,"['373389', '391231', '392028', '379184']",64,40
19,0,0,0,18,"['848856', '393114', '397759', '135359']",40,"['848856', '393114', '397759', '135359']",40,36
20,0,0,0,18,"['397023', '396275', '2176822', '277444']",48,"['2176822', '397023', '396275', '277444']",48,40
21,0,0,0,18,"['1365', '915008', '395667', '2353999', '2355128', '2353376', '2332456', '2363688', '2350751', '408600', '38512', '657803', '920290', '1072892', '398496', '399274', '1324430']",148,"['1072892', '920290', '657803', '915008', '2350751', '2353999', '2355128', '2353376', '2332456', '2363688', '398496', '399274', '38512', '1365', '395667', '1324430', '408600']",68,36
22,0,0,0,18,"['1605984', '1101321', '195946', '1101337', '1101327', '383599', '381992', '89769', '219130']",88,"['219130', '195946', '1101321', '1101337', '1101327', '383599', '381992', '1605984', '89769']",64,24
23,0,0,0,18,"['71795', '364846', '100792', '289088', '2625629', '204257', '194170']",112,"['204257', '2625629', '71795', '194170', '100792', '364846', '289088']",60,34
24,0,0,0,18,"['371198', '30668', '322367', '272175', '1190989', '391857', '393069']",112,"['391857', '393069', '371198', '1190989', '272175', '322367', '30668']",72,50
25,0,0,0,18,"['334956', '1114834', '91849']",44,"['334956', '1114834', '91849']",44,44
26,0,0,0,18,"['383599', '381992', '258569', '324086', '1456044']",60,"['1456044', '383599', '381992', '258569', '324086']",52,32
27,0,0,0,18,"['405691', '391079', '380057', '179949', '1044876']",56,"['1044876', '391079', '380057', '179949', '405691']",60,32
28,0,0,0,18,"['948360', '360062', '42416', '324086']",60,"['360062', '42416', '948360', '324086']",52,50
29,0,0,0,18,"['1720533', '272258', '239436', '230004', '219130', '1400574']",124,"['219130', '272258', '239436', '230004', '1720533', '1400574']",72,34
30,0,0,0,18,"['308245', '137041', '341789', '316459']",48,"['308245', '137041', '341789', '316459']",48,48
31,0,0,0,18,"['145613', '363243', '365167', '387191', '1192416', '1321', '1101319']",108,"['145613', '1321', '1192416', '1101319', '387191', '365167', '363243']",68,72
32,0,0,0,18,"['1147851', '61210', '231434', '76182', '388082', '388746', '361415', '379553', '357344', '396342', '89769', '391835', '359287', '160922', '392028', '108775', '274852', '286783']",124,"['286783', '108775', '274852', '391835', '359287', '392028', '160922', '89769', '396342', '357344', '388746', '388082', '231434', '76182', '61210', '361415', '379553', '1147851']",68,26
33,0,0,0,18,"['106685', '260033', '103926', '205427']",44,"['205427', '106685', '260033', '103926']",40,38
34,0,0,0,18,"['257415', '111873', '287467', '1101838', '287261', '1689273', '398302']",76,"['257415', '398302', '287467', '1689273', '287261', '1101838', '111873']",60,20
35,0,0,0,18,"['148548', '143230', '398335', '398325', '36346', '230013']",56,"['398335', '148548', '143230', '398325', '36346', '230013']",56,52
36,0,0,0,18,"['365028', '387238', '366339', '223681']",64,"['365028', '387238', '366339', '223681']",60,40
