Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound,bab_order,bab_distance
1,0,0,0,0,"['108335', '391825', '340367', '286457', '661741']",76,"['340367', '661741', '286457', '391825', '108335']",72,44,"['391825', '108335', '286457', '340367', '661741']",72
2,0,0,0,0,"['219130', '365285', '364695']",64,"['364695', '365285', '219130']",64,62,"['219130', '365285', '364695']",64
3,0,0,0,0,"['422465', '379019', '98888']",72,"['379019', '98888', '422465']",68,60,"['379019', '98888', '422465']",68
4,0,0,0,0,"['352109', '397889', '386850', '380489', '287261']",48,"['287261', '380489', '352109', '397889', '386850']",48,40,"['352109', '397889', '386850', '380489', '287261']",48
5,0,0,0,0,"['281610', '342706', '111873', '198029', '366109', '287261', '76283', '254489', '258540', '286457']",76,"['286457', '258540', '111873', '287261', '366109', '254489', '281610', '198029', '342706', '76283']",52,34,"['198029', '342706', '111873', '76283', '287261', '286457', '258540', '281610', '366109', '254489']",72
6,0,0,0,0,"['383599', '381992', '89769', '284905']",72,"['383599', '381992', '89769', '284905']",72,52,"['383599', '381992', '89769', '284905']",72
7,0,0,0,0,"['284251', '780493', '226774', '140817', '191515', '327710']",64,"['284251', '140817', '191515', '327710', '226774', '780493']",60,54,"['284251', '140817', '780493', '226774', '191515', '327710']",64
8,0,0,0,0,"['16643', '123462', '119063', '128827', '188598', '323836', '660999', '661002']",88,"['660999', '661002', '128827', '16643', '123462', '119063', '188598', '323836']",72,40,"['16643', '123462', '119063', '128827', '323836', '188598', '660999', '661002']",88
9,0,0,0,0,"['181202', '328595', '276157', '296188', '8140', '208299']",80,"['328595', '181202', '276157', '296188', '8140', '208299']",68,56,"['276157', '208299', '296188', '8140', '181202', '328595']",68
10,0,0,0,0,"['427230', '372539', '396879', '391680', '208660', '105912', '332555', '227534', '68048', '188856', '736830', '736831', '479020', '103313', '365797', '97077', '117900', '384900', '769581', '1372184', '226774']",152,"['208660', '372539', '396879', '391680', '188856', '117900', '365797', '97077', '769581', '1372184', '736831', '227534', '736830', '384900', '103313', '479020', '427230', '105912', '68048', '226774', '332555']",80,34,"['226774', '365797', '736831', '332555', '103313', '188856', '117900', '391680', '372539', '479020', '384900', '396879', '97077', '208660', '1372184', '769581', '68048', '736830', '427230', '105912', '227534']",148
11,0,0,0,0,"['1117760', '102601', '222340', '112167']",56,"['112167', '102601', '222340', '1117760']",56,32,"['1117760', '102601', '222340', '112167']",56
