Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance
1,0,0,0,0,"['108335', '391825', '340367', '286457', '661741']",76,"['340367', '661741', '286457', '391825', '108335']",72
2,0,0,0,0,"['219130', '365285', '364695']",64,"['364695', '365285', '219130']",64
3,0,0,0,0,"['422465', '379019', '98888']",72,"['422465', '379019', '98888']",72
4,0,0,0,0,"['352109', '397889', '386850', '380489', '287261']",48,"['287261', '380489', '352109', '397889', '386850']",48
5,0,0,0,0,"['281610', '342706', '111873', '198029', '366109', '287261', '76283', '254489', '258540', '286457']",76,"['254489', '342706', '366109', '76283', '287261', '198029', '111873', '281610', '258540', '286457']",56
6,0,0,0,0,"['383599', '381992', '89769', '284905']",72,"['383599', '381992', '89769', '284905']",72
7,0,0,0,0,"['284251', '780493', '226774', '140817', '191515', '327710']",64,"['226774', '140817', '780493', '191515', '327710', '284251']",64
8,0,0,0,0,"['16643', '123462', '119063', '128827', '188598', '323836', '660999', '661002']",88,"['660999', '661002', '128827', '16643', '123462', '119063', '188598', '323836']",72
9,0,0,0,0,"['181202', '328595', '276157', '296188', '8140', '208299']",80,"['328595', '181202', '276157', '296188', '8140', '208299']",68
10,0,0,0,0,"['427230', '372539', '396879', '391680', '208660', '105912', '332555', '227534', '68048', '188856', '736830', '736831', '479020', '103313', '365797', '97077', '117900', '384900', '769581', '1372184', '226774']",152,"['208660', '372539', '396879', '391680', '188856', '117900', '365797', '97077', '769581', '1372184', '736831', '227534', '736830', '384900', '103313', '479020', '427230', '105912', '68048', '226774', '332555']",80
11,0,0,0,0,"['1117760', '102601', '222340', '112167']",56,"['112167', '102601', '222340', '1117760']",56
12,0,0,0,0,"['176484', '245818', '195946', '272457', '354111', '103926', '106685', '260033', '306104', '397673', '16643', '193618', '180958', '226774', '392017', '154454', '287261', '111873', '391857', '393069', '1400578']",168,"['391857', '195946', '111873', '154454', '287261', '272457', '354111', '103926', '106685', '260033', '306104', '245818', '16643', '397673', '180958', '226774', '392017', '193618', '393069', '1400578', '176484']",120
13,0,0,0,0,"['1145658', '1590703', '1588573', '304902', '616588', '204756', '354453', '156523', '129049', '19494', '72830', '207762', '17032']",112,"['354453', '204756', '616588', '129049', '156523', '1588573', '72830', '207762', '19494', '17032', '1590703', '304902', '1145658']",80
14,0,0,0,0,"['208299', '147629', '311368', '48409', '255229', '396806', '104076', '286438']",72,"['311368', '255229', '396806', '104076', '286438', '208299', '147629', '48409']",68
15,0,0,0,0,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32
16,0,0,0,0,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",36,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",36
17,0,0,0,0,"['762640', '1138', '1329222', '298112', '8659']",80,"['1138', '762640', '298112', '8659', '1329222']",76
