Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,nn_order,nn_distance,nn_effort,mst_Lower_bound,bab_order,bab_distance,bab_effort
1,0,0,0,0,"['108335', '391825', '340367', '286457', '661741']",76,"['661741', '286457', '340367', '391825', '108335']",70,29.6,50,"['391825', '108335', '286457', '340367', '661741']",74,22.8
2,0,0,0,0,"['219130', '365285', '364695']",62,"['364695', '365285', '219130']",56,4.6,56,"['219130', '365285', '364695']",64,1.2
3,0,0,0,0,"['422465', '379019', '98888']",72,"['422465', '98888', '379019']",62,94.0,62,"['98888', '379019', '422465']",70,84.8
4,0,0,0,0,"['352109', '397889', '386850', '380489', '287261']",50,"['380489', '352109', '397889', '386850', '287261']",46,0,48,"['352109', '397889', '386850', '380489', '287261']",52,0
5,0,0,0,0,"['281610', '342706', '111873', '198029', '366109', '287261', '76283', '254489', '258540', '286457']",74,"['254489', '342706', '281610', '111873', '198029', '366109', '287261', '76283', '258540', '286457']",52,5.0,52,"['281610', '342706', '111873', '198029', '366109', '76283', '287261', '286457', '258540', '254489']",66,1.4
6,0,0,0,0,"['383599', '381992', '89769', '284905']",74,"['89769', '381992', '383599', '284905']",68,172.0,56,"['284905', '383599', '89769', '381992']",76,234.0
7,0,0,0,0,"['284251', '780493', '226774', '140817', '191515', '327710']",64,"['284251', '140817', '226774', '191515', '327710', '780493']",60,28.0,60,"['284251', '140817', '780493', '226774', '191515', '327710']",62,30.0
8,0,0,0,0,"['16643', '123462', '119063', '128827', '188598', '323836', '660999', '661002']",92,"['661002', '660999', '128827', '16643', '123462', '119063', '188598', '323836']",70,36.2,54,"['123462', '119063', '188598', '323836', '16643', '128827', '660999', '661002']",78,14.4
9,0,0,0,0,"['181202', '328595', '276157', '296188', '8140', '208299']",82,"['8140', '276157', '296188', '208299', '328595', '181202']",62,99.2,62,"['276157', '208299', '296188', '8140', '181202', '328595']",68,68.2
10,0,0,0,0,"['427230', '372539', '396879', '391680', '208660', '105912', '332555', '227534', '68048', '188856', '736830', '736831', '479020', '103313', '365797', '97077', '117900', '384900', '769581', '1372184', '226774']",152,"['208660', '427230', '372539', '396879', '391680', '188856', '97077', '117900', '68048', '736830', '736831', '479020', '384900', '365797', '769581', '1372184', '226774', '105912', '103313', '332555', '227534']",94,1518.0,74,"['427230', '372539', '396879', '391680', '105912', '332555', '68048', '188856', '736830', '365797', '736831', '1372184', '103313', '769581', '384900', '479020', '117900', '97077', '208660', '227534', '226774']",148,1220.0
11,0,0,0,0,"['1117760', '102601', '222340', '112167']",54,"['1117760', '222340', '102601', '112167']",50,868.0,38,"['1117760', '102601', '222340', '112167']",56,868.0
12,0,0,0,0,"['176484', '245818', '195946', '272457', '354111', '103926', '106685', '260033', '306104', '397673', '16643', '193618', '180958', '226774', '392017', '154454', '287261', '111873', '391857', '393069', '1400578']",174,"['176484', '272457', '1400578', '397673', '306104', '103926', '354111', '195946', '245818', '226774', '392017', '154454', '106685', '260033', '193618', '180958', '16643', '287261', '111873', '393069', '391857']",94,418.0,64,"['176484', '245818', '195946', '354111', '103926', '106685', '260033', '397673', '111873', '16643', '306104', '193618', '180958', '154454', '287261', '393069', '391857', '272457', '1400578', '226774', '392017']",174,973.2
13,0,0,0,0,"['1145658', '1590703', '1588573', '304902', '616588', '204756', '354453', '156523', '129049', '19494', '72830', '207762', '17032']",112,"['1588573', '17032', '354453', '207762', '304902', '1590703', '1145658', '616588', '204756', '156523', '129049', '19494', '72830']",74,1093.2,58,"['1145658', '1590703', '1588573', '207762', '72830', '616588', '304902', '204756', '19494', '129049', '354453', '156523', '17032']",110,1243.2
14,0,0,0,0,"['208299', '147629', '311368', '48409', '255229', '396806', '104076', '286438']",82,"['48409', '147629', '208299', '311368', '255229', '396806', '104076', '286438']",74,468.0,66,"['208299', '311368', '48409', '147629', '396806', '104076', '286438', '255229']",82,400.0
15,0,0,0,0,"['356984', '376926', '360031']",36,"['360031', '356984', '376926']",32,19.4,34,"['356984', '376926', '360031']",34,21.2
16,0,0,0,0,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",74,"['1626718', '1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709']",70,0,72,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",72,0
17,0,0,0,0,"['762640', '1138', '1329222', '298112', '8659']",74,"['8659', '298112', '762640', '1138', '1329222']",62,70.6,56,"['1329222', '8659', '298112', '762640', '1138']",74,147.0
18,0,0,0,0,"['379184', '392028', '391231', '373389']",62,"['391231', '373389', '392028', '379184']",58,114.0,50,"['379184', '392028', '373389', '391231']",62,66.0
19,0,0,0,0,"['848856', '393114', '397759', '135359']",48,"['393114', '848856', '397759', '135359']",42,2.2,40,"['848856', '397759', '135359', '393114']",44,2.0
20,0,0,0,0,"['397023', '396275', '2176822', '277444']",44,"['396275', '397023', '2176822', '277444']",40,3.8,42,"['397023', '396275', '2176822', '277444']",46,3.8
21,0,0,0,0,"['1365', '915008', '395667', '2353999', '2355128', '2353376', '2332456', '2363688', '2350751', '408600', '38512', '657803', '920290', '1072892', '398496', '399274', '1324430']",164,"['920290', '915008', '398496', '2353999', '2355128', '2353376', '2332456', '2363688', '399274', '2350751', '395667', '1365', '408600', '1324430', '1072892', '38512', '657803']",74,6565.8,62,"['915008', '395667', '1324430', '2353999', '2355128', '2353376', '2332456', '399274', '920290', '2363688', '398496', '2350751', '38512', '408600', '1072892', '1365', '657803']",128,7230.4
22,0,0,0,0,"['1605984', '1101321', '195946', '1101337', '1101327', '383599', '381992', '89769', '219130']",108,"['1101327', '383599', '381992', '1101321', '89769', '1605984', '195946', '1101337', '219130']",80,452.0,50,"['381992', '195946', '219130', '89769', '1101321', '1605984', '383599', '1101327', '1101337']",102,272.0
23,0,0,0,0,"['71795', '364846', '100792', '289088', '2625629', '204257', '194170']",114,"['364846', '204257', '71795', '194170', '100792', '2625629', '289088']",64,55.4,58,"['289088', '2625629', '100792', '71795', '194170', '204257', '364846']",70,51.4
24,0,0,0,0,"['371198', '30668', '322367', '272175', '1190989', '391857', '393069']",106,"['393069', '371198', '1190989', '272175', '322367', '30668', '391857']",64,593.4,56,"['272175', '322367', '1190989', '371198', '393069', '30668', '391857']",74,554.4
25,0,0,0,0,"['334956', '1114834', '91849']",48,"['91849', '334956', '1114834']",44,377.8,46,"['334956', '1114834', '91849']",46,430.4
26,0,0,0,0,"['383599', '381992', '258569', '324086', '1456044']",78,"['1456044', '383599', '381992', '258569', '324086']",62,54.0,48,"['381992', '1456044', '383599', '258569', '324086']",70,68.0
27,0,0,0,0,"['405691', '391079', '380057', '179949', '1044876']",66,"['405691', '380057', '391079', '179949', '1044876']",62,15.2,40,"['405691', '391079', '380057', '179949', '1044876']",68,15.4
28,0,0,0,0,"['948360', '360062', '42416', '324086']",52,"['948360', '42416', '360062', '324086']",42,810.0,48,"['948360', '360062', '42416', '324086']",54,1020.0
29,0,0,0,0,"['1720533', '272258', '239436', '230004', '219130', '1400574']",106,"['1400574', '1720533', '230004', '239436', '272258', '219130']",64,1414.0,60,"['219130', '272258', '239436', '230004', '1720533', '1400574']",74,1092.0
30,0,0,0,0,"['308245', '137041', '341789', '316459']",54,"['316459', '308245', '137041', '341789']",50,0,52,"['308245', '137041', '341789', '316459']",52,0
31,0,0,0,0,"['145613', '363243', '365167', '387191', '1192416', '1321', '1101319']",100,"['145613', '1321', '1192416', '1101319', '387191', '365167', '363243']",62,151.0,44,"['1101319', '387191', '145613', '1192416', '1321', '363243', '365167']",90,198.6
32,0,0,0,0,"['1147851', '61210', '231434', '76182', '388082', '388746', '361415', '379553', '357344', '396342', '89769', '391835', '359287', '160922', '392028', '108775', '274852', '286783']",136,"['359287', '160922', '286783', '108775', '274852', '361415', '392028', '391835', '89769', '396342', '61210', '388082', '388746', '1147851', '379553', '357344', '231434', '76182']",90,800.0,66,"['1147851', '391835', '61210', '231434', '388082', '388746', '396342', '357344', '89769', '379553', '76182', '361415', '359287', '160922', '286783', '274852', '392028', '108775']",154,1400.0
33,0,0,0,0,"['106685', '260033', '103926', '205427']",52,"['103926', '106685', '260033', '205427']",48,26.0,50,"['106685', '260033', '103926', '205427']",54,22.0
34,0,0,0,0,"['257415', '111873', '287467', '1101838', '287261', '1689273', '398302']",84,"['1101838', '111873', '287261', '1689273', '287467', '257415', '398302']",62,107.0,48,"['1101838', '111873', '287467', '1689273', '287261', '257415', '398302']",74,111.0
35,0,0,0,0,"['148548', '143230', '398335', '398325', '36346', '230013']",56,"['230013', '148548', '398335', '398325', '36346', '143230']",44,110.4,44,"['148548', '143230', '398325', '36346', '230013', '398335']",48,85.2
36,0,0,0,0,"['365028', '387238', '366339', '223681']",56,"['223681', '387238', '365028', '366339']",50,11.8,46,"['365028', '387238', '366339', '223681']",54,15.0
37,0,0,0,0,"['81941', '227150', '287164', '89769']",80,"['287164', '227150', '81941', '89769']",60,65.6,42,"['227150', '89769', '81941', '287164']",62,41.2
38,0,0,0,0,"['31378', '108335', '5697', '2489041']",72,"['5697', '108335', '31378', '2489041']",64,30.2,64,"['31378', '108335', '2489041', '5697']",68,26.8
39,0,0,0,0,"['392017', '391888', '378837', '1333672', '1164788', '276338', '185422']",62,"['185422', '392017', '391888', '378837', '1333672', '1164788', '276338']",54,88.0,54,"['392017', '391888', '378837', '276338', '1164788', '1333672', '185422']",62,74.0
40,0,0,0,0,"['204257', '193832', '60315', '679025']",52,"['204257', '60315', '193832', '679025']",44,16.0,42,"['204257', '60315', '193832', '679025']",50,16.0
41,0,0,0,0,"['335765', '30440', '230546', '41100']",44,"['41100', '335765', '30440', '230546']",38,0,42,"['335765', '30440', '230546', '41100']",42,0
42,0,0,0,0,"['360218', '137790', '24294', '131627', '145989', '251547', '244708']",90,"['244708', '145989', '251547', '360218', '24294', '131627', '137790']",64,316.6,62,"['145989', '24294', '131627', '251547', '244708', '360218', '137790']",82,359.0
43,0,0,0,0,"['5735', '350562', '180023', '32895', '22234', '321099', '111873', '499508', '1101259', '392000']",70,"['111873', '350562', '5735', '180023', '32895', '22234', '321099', '499508', '392000', '1101259']",50,76.0,50,"['5735', '350562', '180023', '32895', '22234', '321099', '499508', '392000', '111873', '1101259']",56,76.0
44,0,0,0,0,"['207762', '392705', '46071', '324086', '475132', '475125']",76,"['324086', '475132', '207762', '392705', '46071', '475125']",52,142.4,44,"['207762', '46071', '475125', '392705', '475132', '324086']",56,123.6
45,0,0,0,0,"['307102', '1101337', '387191', '2150316', '2620913', '2620902', '1102073']",74,"['1102073', '2150316', '2620913', '2620902', '307102', '1101337', '387191']",58,1.4,56,"['2150316', '2620913', '2620902', '1102073', '307102', '1101337', '387191']",62,1.4
46,0,0,0,0,"['1192448', '184241', '226774', '185422', '950952', '193832']",66,"['950952', '184241', '226774', '185422', '193832', '1192448']",60,54.8,54,"['1192448', '184241', '226774', '185422', '950952', '193832']",68,87.8
47,0,0,0,0,"['231434', '286783', '274852', '49524', '170758', '76182', '264804', '1456044', '108775', '380552', '227318', '408295', '408451', '308223', '59538', '348200', '1101294', '1101291', '1101290', '1101292', '385901', '207762', '311912', '19704', '357643', '375582', '475110', '660042', '54430', '395701', '236272']",196,"['236272', '227318', '408295', '54430', '1101290', '231434', '286783', '274852', '1456044', '264804', '108775', '380552', '408451', '49524', '170758', '475110', '76182', '308223', '59538', '348200', '1101294', '1101291', '311912', '19704', '375582', '1101292', '385901', '207762', '357643', '660042', '395701']",102,11893.0,88,"['231434', '49524', '170758', '76182', '264804', '1456044', '660042', '108775', '380552', '227318', '408295', '408451', '348200', '1101294', '1101291', '1101290', '1101292', '311912', '475110', '357643', '236272', '395701', '385901', '286783', '274852', '207762', '19704', '375582', '54430', '308223', '59538']",190,7723.8
48,0,0,0,0,"['2625154', '1019019', '100382', '154720', '299576', '817287', '336712', '1734057', '82591', '259577', '1075851', '365562', '259577', '343071', '1080194', '191091', '291100', '2137707', '289491', '51164', '2626882', '751202']",204,"['299576', '343071', '817287', '51164', '2626882', '289491', '1734057', '336712', '191091', '259577', '1075851', '259577', '291100', '2137707', '82591', '100382', '2625154', '154720', '365562', '751202', '1080194', '1019019']",96,5467.6,70,"['1019019', '100382', '154720', '299576', '817287', '336712', '82591', '259577', '1075851', '365562', '751202', '259577', '2137707', '191091', '2626882', '51164', '1734057', '2625154', '343071', '289491', '1080194', '291100']",214,3561.6
49,0,0,0,0,"['356984', '376926', '360031']",36,"['360031', '356984', '376926']",32,19.4,34,"['356984', '376926', '360031']",34,21.2
50,0,0,0,0,"['254322', '179564', '254322', '165051']",50,"['165051', '254322', '179564', '254322']",46,93.0,48,"['254322', '179564', '254322', '165051']",48,103.8
51,0,0,0,0,"['206570', '265089', '354517', '136990', '322374']",60,"['322374', '265089', '354517', '136990', '206570']",56,207.2,40,"['206570', '265089', '354517', '136990', '322374']",62,172.0
52,0,0,0,0,"['208299', '147629', '311368', '48409', '255229']",76,"['255229', '48409', '208299', '147629', '311368']",68,500.0,60,"['208299', '48409', '147629', '311368', '255229']",74,372.0
53,0,0,0,0,"['95075', '328242', '349267', '225316', '303243']",58,"['349267', '225316', '328242', '95075', '303243']",48,420.0,48,"['95075', '328242', '349267', '225316', '303243']",60,492.0
54,0,0,0,0,"['396806', '396805', '363644', '2150800']",80,"['2150800', '363644', '396806', '396805']",72,30.0,56,"['396806', '2150800', '363644', '396805']",74,28.0
55,0,0,0,0,"['82695', '49925', '387491', '365587']",56,"['365587', '387491', '82695', '49925']",50,21.0,40,"['365587', '49925', '82695', '387491']",56,19.4
56,0,0,0,0,"['356984', '376926', '360031']",36,"['360031', '356984', '376926']",32,19.4,34,"['356984', '376926', '360031']",34,21.2
57,0,0,0,0,"['205154', '221912', '379532', '196285']",50,"['196285', '205154', '221912', '379532']",46,46.0,48,"['205154', '221912', '379532', '196285']",48,54.0
58,0,0,0,0,"['259556', '172768', '379019']",62,"['379019', '172768', '259556']",56,58.8,42,"['259556', '379019', '172768']",58,58.8
59,0,0,0,0,"['29598', '1321', '294908', '383371', '239574', '239436', '245818', '195946', '342032']",80,"['294908', '1321', '383371', '239436', '239574', '195946', '245818', '342032', '29598']",60,419.6,56,"['29598', '1321', '294908', '383371', '245818', '239574', '195946', '239436', '342032']",82,369.6
60,0,0,0,0,"['1423411', '1423408', '356430', '392723', '488554', '488542']",60,"['488542', '1423411', '356430', '392723', '488554', '1423408']",54,479.2,48,"['1423411', '1423408', '356430', '488554', '488542', '392723']",62,511.8
61,0,0,0,0,"['7177', '306809', '245715', '42210', '1138']",42,"['1138', '7177', '306809', '245715', '42210']",38,30.4,40,"['7177', '306809', '245715', '42210', '1138']",40,33.6
62,0,0,0,0,"['1102104', '149408', '72860', '195946', '373288', '780493', '391857']",70,"['373288', '72860', '195946', '1102104', '149408', '780493', '391857']",60,24.4,50,"['1102104', '149408', '72860', '780493', '195946', '373288', '391857']",64,24.4
63,0,0,0,0,"['1058452', '362469', '17057', '393663', '399874', '2184187']",58,"['399874', '17057', '1058452', '362469', '393663', '2184187']",48,162.6,44,"['1058452', '362469', '17057', '393663', '399874', '2184187']",60,103.0
64,0,0,0,0,"['52017', '372539', '305367', '110313', '156385']",44,"['156385', '52017', '372539', '305367', '110313']",40,0,42,"['52017', '372539', '305367', '110313', '156385']",42,0
65,0,0,0,0,['70172'],56,['70172'],54,0,56,['70172'],54,0
66,0,0,0,0,"['208299', '147629', '311368', '48409', '255229']",76,"['255229', '48409', '208299', '147629', '311368']",68,500.0,60,"['208299', '48409', '147629', '311368', '255229']",74,372.0
67,0,0,0,0,"['1145766', '17057', '1145765', '2586530', '395664']",88,"['395664', '17057', '1145766', '1145765', '2586530']",62,342.4,42,"['1145766', '395664', '17057', '1145765', '2586530']",64,362.2
68,0,0,0,0,"['1406725', '4847', '476883', '350155', '391890', '741988']",56,"['4847', '476883', '350155', '1406725', '391890', '741988']",46,281.4,26,"['741988', '1406725', '476883', '350155', '4847', '391890']",48,152.8
69,0,0,0,0,"['337003', '394165', '309096', '383371', '176484', '1190168', '71795', '41100', '204756', '96509', '1588730', '239436', '151579', '285408', '34182', '306176', '180023', '32895', '191515', '327710', '156753']",138,"['1190168', '176484', '383371', '309096', '337003', '71795', '394165', '1588730', '41100', '204756', '96509', '151579', '239436', '285408', '34182', '306176', '180023', '32895', '191515', '327710', '156753']",92,1855.8,74,"['383371', '1190168', '176484', '41100', '204756', '96509', '151579', '1588730', '239436', '285408', '327710', '191515', '34182', '306176', '32895', '180023', '156753', '309096', '71795', '337003', '394165']",142,1800.2
70,0,0,0,0,"['42416', '365028', '387238', '366339']",52,"['42416', '365028', '387238', '366339']",48,68.0,50,"['42416', '365028', '387238', '366339']",50,73.0
71,0,0,0,0,"['96509', '204756', '41100', '2150795', '709705', '323532']",78,"['709705', '2150795', '323532', '96509', '41100', '204756']",72,144.0,42,"['204756', '2150795', '41100', '709705', '323532', '96509']",100,84.0
72,0,0,0,0,"['49473', '31378', '128827', '148141']",76,"['148141', '31378', '49473', '128827']",72,164.0,60,"['49473', '31378', '128827', '148141']",78,131.4
73,0,0,0,0,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",66,"['2253119', '2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361']",62,0,64,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",64,0
74,0,0,0,0,"['322161', '70619', '71141', '191076']",42,"['191076', '322161', '70619', '71141']",38,3.8,40,"['322161', '70619', '71141', '191076']",40,4.6
75,0,0,0,0,"['155925', '81066', '1192657', '391857']",48,"['81066', '155925', '1192657', '391857']",44,18.4,34,"['155925', '81066', '1192657', '391857']",50,18.4
76,0,0,0,0,"['87798', '475044', '84012', '736830', '1190986', '176484', '780493', '661741', '89769']",118,"['87798', '661741', '176484', '475044', '84012', '736830', '1190986', '89769', '780493']",76,1205.6,46,"['736830', '1190986', '780493', '84012', '89769', '475044', '176484', '661741', '87798']",86,568.0
77,0,0,0,0,"['2150795', '59313', '48365', '355027', '336788']",94,"['336788', '355027', '59313', '48365', '2150795']",74,124.0,56,"['2150795', '336788', '48365', '355027', '59313']",82,68.0
78,0,0,0,0,"['391888', '193832', '206395', '392019']",50,"['392019', '391888', '193832', '206395']",46,0,48,"['391888', '193832', '206395', '392019']",48,0
79,0,0,0,0,"['193618', '154454', '17653', '100598']",58,"['100598', '17653', '193618', '154454']",50,76.0,50,"['193618', '17653', '154454', '100598']",56,49.6
80,0,0,0,0,"['294886', '257518', '164588', '311561']",56,"['311561', '164588', '294886', '257518']",52,0,44,"['294886', '164588', '311561', '257518']",52,0
81,0,0,0,0,"['249966', '70012', '396795', '363644']",66,"['363644', '396795', '249966', '70012']",60,62.0,56,"['249966', '70012', '396795', '363644']",64,62.0
82,0,0,0,0,"['1101314', '1117760', '251547', '272457', '372898', '708440']",80,"['1117760', '251547', '1101314', '272457', '708440', '372898']",56,1272.0,50,"['1117760', '251547', '272457', '1101314', '708440', '372898']",58,1120.0
83,0,0,0,0,"['780187', '2166906', '360342', '358857']",56,"['358857', '2166906', '360342', '780187']",50,22.8,48,"['2166906', '360342', '358857', '780187']",54,22.0
84,0,0,0,0,"['17032', '68048', '374101']",50,"['68048', '17032', '374101']",46,84.0,44,"['17032', '68048', '374101']",52,86.0
85,0,0,0,0,"['383599', '381992', '366647', '5307', '91849', '113039', '376286']",74,"['376286', '91849', '383599', '381992', '366647', '113039', '5307']",64,409.6,56,"['383599', '381992', '366647', '5307', '91849', '113039', '376286']",72,305.8
86,0,0,0,0,"['103926', '106685', '260033']",52,"['260033', '103926', '106685']",48,24.0,50,"['103926', '106685', '260033']",50,28.0
87,0,0,0,0,"['352293', '386536', '358424', '375744']",66,"['375744', '386536', '358424', '352293']",62,19.8,54,"['352293', '358424', '375744', '386536']",68,12.0
88,0,0,0,0,"['382158', '388198', '286783', '34054']",78,"['34054', '286783', '382158', '388198']",52,249.6,48,"['34054', '388198', '382158', '286783']",56,144.0
89,0,0,0,0,"['360056', '367941', '198029', '17112']",54,"['17112', '367941', '198029', '360056']",44,160.0,48,"['360056', '367941', '198029', '17112']",56,170.0
90,0,0,0,0,"['190046', '1720591', '1400584', '1400569', '391857']",62,"['1400569', '1400584', '1720591', '190046', '391857']",46,15.0,38,"['1400584', '1400569', '1720591', '190046', '391857']",52,15.0
91,0,0,0,0,"['219501', '208974', '168753', '1399145', '1327769']",54,"['1327769', '1399145', '219501', '208974', '168753']",48,819.0,42,"['219501', '208974', '1399145', '1327769', '168753']",50,1049.4
92,0,0,0,0,"['219501', '317225', '208974', '392501', '168753', '1399145', '1327769']",70,"['317225', '392501', '1399145', '1327769', '219501', '208974', '168753']",50,1953.0,46,"['219501', '317225', '392501', '208974', '1399145', '1327769', '168753']",62,2565.4
93,0,0,0,0,"['365028', '387238', '366339']",52,"['366339', '365028', '387238']",48,12.2,50,"['365028', '387238', '366339']",50,13.0
94,0,0,0,0,"['356984', '376926', '360031']",36,"['360031', '356984', '376926']",32,19.4,34,"['356984', '376926', '360031']",34,21.2
95,0,0,0,0,"['396794', '944530', '944526', '944527']",108,"['944530', '944526', '396794', '944527']",104,2410.0,68,"['944530', '944526', '396794', '944527']",110,2410.0
96,0,0,0,0,['2620261'],20,['2620261'],18,0,20,['2620261'],18,0
97,0,0,0,0,"['2217453', '2217454', '2217451', '2217452']",34,"['2217452', '2217453', '2217454', '2217451']",30,0,32,"['2217453', '2217454', '2217451', '2217452']",32,0
98,0,0,0,0,"['2217453', '2217454', '2217451', '2217452']",34,"['2217452', '2217453', '2217454', '2217451']",30,0,32,"['2217453', '2217454', '2217451', '2217452']",32,0
99,0,0,0,0,"['135359', '380393', '298112', '181025', '393243']",72,"['181025', '380393', '135359', '298112', '393243']",54,107.6,48,"['393243', '181025', '298112', '135359', '380393']",58,116.4
100,0,0,0,0,"['392819', '8659', '157585', '262522', '201055', '361101']",68,"['201055', '157585', '262522', '8659', '392819', '361101']",62,1.8,52,"['262522', '157585', '201055', '8659', '392819', '361101']",74,1.8
101,0,0,0,0,"['306104', '81941', '18602', '393035', '352109', '119063', '276338', '145958']",72,"['81941', '306104', '276338', '393035', '352109', '119063', '145958', '18602']",56,30.0,50,"['306104', '81941', '276338', '393035', '18602', '352109', '119063', '145958']",70,36.0
